subjectID,trialID,currentTime,eventType,stimType,stimFile,stimChar
e03,4,1484127551286,trialStart,easy,easy_4_23_80_25872,
e03,,1484127551688,charShow,,,a
e03,,1484127552088,charShow,,,a
e03,,1484127552488,charShow,,,b
e03,,1484127552831,screenTap,,,
e03,,1484127552888,charShow,,,a
e03,,1484127553288,charShow,,,a
e03,,1484127553688,charShow,,,b
e03,,1484127554058,screenTap,,,
e03,,1484127554088,charShow,,,a
e03,,1484127554488,charShow,,,b
e03,,1484127554862,screenTap,,,
e03,,1484127554889,charShow,,,a
e03,,1484127555288,charShow,,,a
e03,,1484127555688,charShow,,,b
e03,,1484127556014,screenTap,,,
e03,,1484127556088,charShow,,,a
e03,,1484127556488,charShow,,,a
e03,,1484127556888,charShow,,,b
e03,,1484127557233,screenTap,,,
e03,,1484127557288,charShow,,,a
e03,,1484127557688,charShow,,,b
e03,,1484127558088,charShow,,,a
e03,,1484127558229,screenTap,,,
e03,,1484127558488,charShow,,,a
e03,,1484127558888,charShow,,,b
e03,,1484127559249,screenTap,,,
e03,,1484127559315,charShow,,,a
e03,,1484127559688,charShow,,,a
e03,,1484127560088,charShow,,,b
e03,,1484127560459,screenTap,,,
e03,,1484127560488,charShow,,,a
e03,,1484127560888,charShow,,,b
e03,,1484127561263,screenTap,,,
e03,,1484127561400,charShow,,,a
e03,,1484127561688,charShow,,,a
e03,,1484127562088,charShow,,,b
e03,,1484127562453,screenTap,,,
e03,,1484127562488,charShow,,,a
e03,,1484127562887,charShow,,,a
e03,,1484127563288,charShow,,,b
e03,,1484127563628,screenTap,,,
e03,,1484127563687,charShow,,,a
e03,,1484127564087,charShow,,,b
e03,,1484127564487,charShow,,,a
e03,,1484127564515,screenTap,,,
e03,,1484127564888,charShow,,,a
e03,,1484127565288,charShow,,,b
e03,,1484127565644,screenTap,,,
e03,,1484127565688,charShow,,,a
e03,,1484127566088,charShow,,,a
e03,,1484127566488,charShow,,,b
e03,,1484127566846,screenTap,,,
e03,,1484127566889,charShow,,,a
e03,,1484127567289,charShow,,,b
e03,,1484127567688,charShow,,,a
e03,,1484127567708,screenTap,,,
e03,,1484127568089,charShow,,,a
e03,,1484127568488,charShow,,,b
e03,,1484127568852,screenTap,,,
e03,,1484127568888,charShow,,,a
e03,,1484127569289,charShow,,,a
e03,,1484127569689,charShow,,,b
e03,,1484127570057,screenTap,,,
e03,,1484127570089,charShow,,,a
e03,,1484127570489,charShow,,,b
e03,,1484127570864,screenTap,,,
e03,,1484127570889,charShow,,,a
e03,,1484127571288,charShow,,,a
e03,,1484127571689,charShow,,,b
e03,,1484127572036,screenTap,,,
e03,,1484127572088,charShow,,,a
e03,,1484127572489,charShow,,,a
e03,,1484127572889,charShow,,,b
e03,,1484127573289,charShow,,,a
e03,,1484127573432,screenTap,,,
e03,,1484127573689,charShow,,,b
e03,,1484127574090,charShow,,,a
e03,,1484127574142,screenTap,,,
e03,,1484127574489,charShow,,,a
e03,,1484127574889,charShow,,,b
e03,,1484127575223,screenTap,,,
e03,,1484127575289,charShow,,,a
e03,,1484127575688,charShow,,,a
e03,,1484127576089,charShow,,,b
e03,,1484127576420,screenTap,,,
e03,,1484127576488,charShow,,,a
e03,,1484127576888,charShow,,,b
e03,,1484127577282,screenTap,,,
e03,,1484127577296,charShow,,,a
e03,,1484127577688,charShow,,,a
e03,,1484127578089,charShow,,,b
e03,,1484127578442,screenTap,,,
e03,,1484127578488,charShow,,,a
e03,,1484127578889,charShow,,,a
e03,,1484127579289,charShow,,,b
e03,,1484127579670,screenTap,,,
e03,,1484127579690,charShow,,,a
e03,,1484127580088,charShow,,,b
e03,,1484127580459,screenTap,,,
e03,,1484127580489,charShow,,,a
e03,,1484127580889,charShow,,,a
e03,,1484127581289,charShow,,,b
e03,,1484127581610,screenTap,,,
e03,,1484127581689,charShow,,,a
e03,,1484127582090,charShow,,,a
e03,,1484127582489,charShow,,,b
e03,,1484127582798,screenTap,,,
e03,,1484127582888,charShow,,,a
e03,,1484127583288,charShow,,,b
e03,,1484127583678,screenTap,,,
e03,5,1484127588668,trialStart,lsys,lsys_3_23_80_23074,
e03,,1484127589070,charShow,,,b
e03,,1484127589470,charShow,,,a
e03,,1484127589510,screenTap,,,
e03,,1484127589871,charShow,,,b
e03,,1484127590244,screenTap,,,
e03,,1484127590270,charShow,,,a
e03,,1484127590670,charShow,,,a
e03,,1484127591071,charShow,,,b
e03,,1484127591423,screenTap,,,
e03,,1484127591470,charShow,,,a
e03,,1484127591871,charShow,,,a
e03,,1484127592271,charShow,,,b
e03,,1484127592596,screenTap,,,
e03,,1484127592671,charShow,,,a
e03,,1484127593071,charShow,,,b
e03,,1484127593398,screenTap,,,
e03,,1484127593471,charShow,,,a
e03,,1484127593870,charShow,,,a
e03,,1484127594271,charShow,,,b
e03,,1484127594616,screenTap,,,
e03,,1484127594670,charShow,,,a
e03,,1484127595071,charShow,,,a
e03,,1484127595471,charShow,,,b
e03,,1484127595834,screenTap,,,
e03,,1484127595870,charShow,,,a
e03,,1484127596271,charShow,,,b
e03,,1484127596641,screenTap,,,
e03,,1484127596670,charShow,,,a
e03,,1484127597070,charShow,,,a
e03,,1484127597470,charShow,,,b
e03,,1484127597806,screenTap,,,
e03,,1484127597870,charShow,,,a
e03,,1484127598271,charShow,,,b
e03,,1484127598655,screenTap,,,
e03,,1484127598670,charShow,,,a
e03,,1484127599071,charShow,,,a
e03,,1484127599471,charShow,,,b
e03,,1484127599815,screenTap,,,
e03,,1484127599870,charShow,,,a
e03,,1484127600271,charShow,,,a
e03,,1484127600671,charShow,,,b
e03,,1484127601031,screenTap,,,
e03,,1484127601070,charShow,,,a
e03,,1484127601470,charShow,,,b
e03,,1484127601860,screenTap,,,
e03,,1484127601874,charShow,,,a
e03,,1484127602271,charShow,,,a
e03,,1484127602672,charShow,,,b
e03,,1484127603044,screenTap,,,
e03,,1484127603070,charShow,,,a
e03,,1484127603471,charShow,,,a
e03,,1484127603870,charShow,,,b
e03,,1484127604231,screenTap,,,
e03,,1484127604270,charShow,,,a
e03,,1484127604670,charShow,,,b
e03,,1484127605031,screenTap,,,
e03,,1484127605070,charShow,,,a
e03,,1484127605471,charShow,,,a
e03,,1484127605871,charShow,,,b
e03,,1484127606208,screenTap,,,
e03,,1484127606270,charShow,,,a
e03,,1484127606671,charShow,,,b
e03,,1484127607019,screenTap,,,
e03,,1484127607070,charShow,,,a
e03,,1484127607470,charShow,,,a
e03,,1484127607871,charShow,,,b
e03,,1484127608209,screenTap,,,
e03,,1484127608270,charShow,,,a
e03,,1484127608671,charShow,,,a
e03,,1484127609071,charShow,,,b
e03,,1484127609434,screenTap,,,
e03,,1484127609470,charShow,,,a
e03,,1484127609871,charShow,,,b
e03,,1484127610226,screenTap,,,
e03,,1484127610271,charShow,,,a
