subjectID,trialID,currentTime,eventType,stimType,stimFile,stimChar
e06,1,1484313291888,trialStart,training,training_3_23_172_3500,
e06,,1484313292290,charShow,,,a
e06,,1484313292691,charShow,,,b
e06,,1484313293090,charShow,,,a
e06,,1484313293402,screenTap,,,
e06,,1484313293491,charShow,,,a
e06,,1484313293891,charShow,,,b
e06,,1484313294291,charShow,,,a
e06,,1484313294647,screenTap,,,
e06,,1484313294690,charShow,,,a
e06,,1484313295092,charShow,,,b
e06,,1484313295491,charShow,,,a
e06,,1484313295742,screenTap,,,
e06,,1484313295890,charShow,,,b
e06,,1484313296292,charShow,,,a
e06,,1484313296691,charShow,,,a
e06,,1484313297090,charShow,,,b
e06,,1484313297490,charShow,,,a
e06,,1484313297504,screenTap,,,
e06,,1484313297891,charShow,,,a
e06,,1484313298290,charShow,,,b
e06,,1484313298690,charShow,,,a
e06,,1484313298710,screenTap,,,
e06,,1484313299090,charShow,,,b
e06,,1484313299491,charShow,,,a
e06,,1484313299611,screenTap,,,
e06,,1484313299891,charShow,,,a
e06,,1484313300291,charShow,,,b
e06,,1484313300691,charShow,,,a
e06,,1484313300759,screenTap,,,
e06,,1484313301091,charShow,,,b
e06,,1484313301491,charShow,,,a
e06,,1484313301618,screenTap,,,
e06,,1484313301892,charShow,,,a
e06,,1484313302291,charShow,,,b
e06,,1484313302692,charShow,,,a
e06,,1484313302822,screenTap,,,
e06,,1484313303092,charShow,,,a
e06,,1484313303493,charShow,,,b
e06,,1484313303852,screenTap,,,
e06,,1484313303892,charShow,,,a
e06,,1484313304292,charShow,,,b
e06,,1484313304693,charShow,,,a
e06,,1484313304726,screenTap,,,
e06,,1484313305092,charShow,,,a
e06,,1484313305492,charShow,,,b
e06,,1484313305850,screenTap,,,
e06,,1484313305891,charShow,,,a
e06,,1484313306292,charShow,,,b
e06,,1484313306693,charShow,,,a
e06,,1484313307091,charShow,,,a
e06,,1484313307491,charShow,,,b
e06,,1484313307892,charShow,,,a
e06,,1484313308043,screenTap,,,
e06,,1484313308291,charShow,,,a
e06,,1484313308692,charShow,,,b
e06,,1484313309093,charShow,,,a
e06,,1484313309152,screenTap,,,
e06,,1484313309491,charShow,,,b
e06,,1484313309892,charShow,,,a
e06,,1484313310030,screenTap,,,
e06,,1484313310292,charShow,,,a
e06,,1484313310692,charShow,,,b
e06,,1484313311062,screenTap,,,
e06,,1484313311092,charShow,,,a
e06,,1484313311492,charShow,,,a
e06,,1484313311892,charShow,,,b
e06,,1484313312290,screenTap,,,
e06,,1484313312291,charShow,,,a
e06,,1484313312692,charShow,,,b
e06,,1484313313092,charShow,,,a
e06,,1484313313222,screenTap,,,
e06,,1484313313492,charShow,,,a
e06,,1484313313892,charShow,,,b
e06,,1484313314229,screenTap,,,
e06,,1484313314292,charShow,,,a
e06,,1484313314691,charShow,,,b
e06,,1484313315091,charShow,,,a
e06,,1484313315312,screenTap,,,
e06,,1484313315492,charShow,,,a
e06,,1484313315892,charShow,,,b
e06,,1484313316292,charShow,,,a
e06,,1484313316444,screenTap,,,
e06,,1484313316692,charShow,,,a
e06,,1484313317093,charShow,,,b
e06,,1484313317416,screenTap,,,
e06,,1484313317492,charShow,,,a
e06,,1484313317892,charShow,,,b
e06,,1484313318291,charShow,,,a
e06,,1484313318342,screenTap,,,
e06,,1484313318692,charShow,,,a
e06,,1484313319092,charShow,,,b
e06,,1484313319396,screenTap,,,
e06,,1484313319491,charShow,,,a
e06,,1484313319892,charShow,,,b
e06,,1484313320291,charShow,,,a
e06,,1484313320342,screenTap,,,
e06,,1484313320691,charShow,,,a
e06,,1484313321092,charShow,,,b
e06,,1484313321423,screenTap,,,
e06,,1484313321491,charShow,,,a
e06,,1484313321892,charShow,,,a
e06,,1484313322292,charShow,,,b
e06,,1484313322695,charShow,,,a
e06,,1484313322709,screenTap,,,
e06,,1484313323092,charShow,,,b
e06,,1484313323492,charShow,,,a
e06,,1484313323614,screenTap,,,
e06,,1484313323891,charShow,,,a
e06,,1484313324292,charShow,,,b
e06,,1484313324691,charShow,,,a
e06,,1484313324692,screenTap,,,
e06,,1484313325092,charShow,,,a
e06,,1484313325491,charShow,,,b
e06,,1484313325816,screenTap,,,
e06,,1484313325892,charShow,,,a
e06,,1484313326292,charShow,,,b
e06,,1484313326691,charShow,,,a
e06,,1484313326758,screenTap,,,
e06,,1484313327092,charShow,,,a
e06,,1484313327492,charShow,,,b
e06,,1484313327835,screenTap,,,
e06,,1484313327891,charShow,,,a
e06,,1484313328292,charShow,,,b
e06,,1484313328692,charShow,,,a
e06,,1484313328693,screenTap,,,
e06,,1484313329091,charShow,,,a
e06,,1484313329492,charShow,,,b
e06,,1484313329796,screenTap,,,
e06,,1484313329892,charShow,,,a
e06,,1484313330292,charShow,,,a
e06,,1484313330692,charShow,,,b
e06,,1484313331000,screenTap,,,
e06,,1484313331092,charShow,,,a
e06,,1484313331492,charShow,,,b
e06,,1484313331891,charShow,,,a
e06,,1484313331921,screenTap,,,
e06,,1484313332292,charShow,,,a
e06,,1484313332692,charShow,,,b
e06,,1484313333023,screenTap,,,
e06,,1484313333091,charShow,,,a
e06,,1484313333492,charShow,,,a
e06,,1484313333892,charShow,,,b
e06,,1484313334230,screenTap,,,
e06,,1484313334292,charShow,,,a
e06,,1484313334692,charShow,,,b
e06,,1484313335092,charShow,,,a
e06,,1484313335159,screenTap,,,
e06,,1484313335492,charShow,,,a
e06,,1484313335892,charShow,,,b
e06,,1484313336287,screenTap,,,
e06,,1484313336301,charShow,,,a
e06,,1484313336692,charShow,,,b
e06,,1484313337092,charShow,,,a
e06,,1484313337215,screenTap,,,
e06,,1484313337492,charShow,,,a
e06,,1484313337893,charShow,,,b
e06,,1484313338291,charShow,,,a
e06,,1484313338303,screenTap,,,
e06,,1484313338692,charShow,,,a
e06,,1484313339092,charShow,,,b
e06,,1484313339489,screenTap,,,
e06,,1484313339492,charShow,,,a
e06,,1484313339892,charShow,,,b
e06,,1484313340292,charShow,,,a
e06,,1484313340425,screenTap,,,
e06,,1484313340691,charShow,,,a
e06,,1484313341092,charShow,,,b
e06,,1484313341492,charShow,,,a
e06,,1484313341541,screenTap,,,
e06,,1484313341892,charShow,,,b
e06,,1484313342292,charShow,,,a
e06,,1484313342443,screenTap,,,
e06,,1484313342692,charShow,,,a
e06,,1484313343091,charShow,,,b
e06,,1484313343468,screenTap,,,
e06,,1484313343492,charShow,,,a
e06,,1484313343892,charShow,,,a
e06,,1484313344292,charShow,,,b
e06,,1484313344687,screenTap,,,
