subjectID,trialID,currentTime,eventType,stimType,stimFile,stimChar
e05,1,1484227892122,trialStart,training,training_1_23_172_22709,
e05,,1484227892524,charShow,,,a
e05,,1484227892925,charShow,,,b
e05,,1484227893217,screenTap,,,
e05,,1484227893327,charShow,,,a
e05,,1484227893724,charShow,,,a
e05,,1484227894125,charShow,,,b
e05,,1484227894525,charShow,,,a
e05,,1484227894924,charShow,,,b
e05,,1484227895325,charShow,,,a
e05,,1484227895460,screenTap,,,
e05,,1484227895724,charShow,,,a
e05,,1484227896124,charShow,,,b
e05,,1484227896525,charShow,,,a
e05,,1484227896926,charShow,,,b
e05,,1484227897325,charShow,,,a
e05,,1484227897724,charShow,,,a
e05,,1484227898125,charShow,,,b
e05,,1484227898473,screenTap,,,
e05,,1484227898524,charShow,,,a
e05,,1484227898924,charShow,,,a
e05,,1484227899325,charShow,,,b
e05,,1484227899725,charShow,,,a
e05,,1484227900125,charShow,,,b
e05,,1484227900479,screenTap,,,
e05,,1484227900524,charShow,,,a
e05,,1484227900924,charShow,,,a
e05,,1484227901325,charShow,,,b
e05,,1484227901725,charShow,,,a
e05,,1484227902125,charShow,,,a
e05,,1484227902394,screenTap,,,
e05,,1484227902524,charShow,,,b
e05,,1484227902925,charShow,,,a
e05,,1484227903324,charShow,,,b
e05,,1484227903725,charShow,,,a
e05,,1484227904124,charShow,,,a
e05,,1484227904525,charShow,,,b
e05,,1484227904924,charShow,,,a
e05,,1484227905324,charShow,,,b
e05,,1484227905730,charShow,,,a
e05,,1484227906129,charShow,,,a
e05,,1484227906530,charShow,,,b
e05,,1484227906870,screenTap,,,
e05,,1484227906923,charShow,,,a
e05,,1484227907325,charShow,,,a
e05,,1484227907725,charShow,,,b
e05,,1484227908125,charShow,,,a
e05,,1484227908525,charShow,,,b
e05,,1484227908924,charShow,,,a
e05,,1484227908976,screenTap,,,
e05,,1484227909324,charShow,,,a
e05,,1484227909724,charShow,,,b
e05,,1484227910124,charShow,,,a
e05,,1484227910524,charShow,,,b
e05,,1484227910846,screenTap,,,
e05,,1484227910924,charShow,,,a
e05,,1484227911324,charShow,,,a
e05,,1484227911725,charShow,,,b
e05,,1484227912124,charShow,,,a
e05,,1484227912525,charShow,,,a
e05,,1484227912841,screenTap,,,
e05,,1484227912924,charShow,,,b
e05,,1484227913324,charShow,,,a
e05,,1484227913724,charShow,,,b
e05,,1484227914125,charShow,,,a
e05,,1484227914525,charShow,,,a
e05,,1484227914925,charShow,,,b
e05,,1484227915325,charShow,,,a
e05,,1484227915725,charShow,,,a
e05,,1484227916131,charShow,,,b
e05,,1484227916529,charShow,,,a
e05,,1484227916930,charShow,,,b
e05,,1484227917333,charShow,,,a
e05,,1484227917730,charShow,,,a
