subjectID,trialID,currentTime,eventType,stimType,stimFile,stimChar
e02,4,1484056166689,trialStart,golden,golden_3_23_80_62577,
e02,,1484056167090,charShow,,,a
e02,,1484056167490,charShow,,,b
e02,,1484056167772,screenTap,,,
e02,,1484056167890,charShow,,,a
e02,,1484056168291,charShow,,,a
e02,,1484056168690,charShow,,,b
e02,,1484056169091,charShow,,,a
e02,,1484056169291,screenTap,,,
e02,,1484056169491,charShow,,,a
e02,,1484056169891,charShow,,,b
e02,,1484056170234,screenTap,,,
e02,,1484056170290,charShow,,,a
e02,,1484056170690,charShow,,,b
e02,,1484056171090,charShow,,,a
e02,,1484056171118,screenTap,,,
e02,,1484056171490,charShow,,,a
e02,,1484056171891,charShow,,,b
e02,,1484056172228,screenTap,,,
e02,,1484056172290,charShow,,,a
e02,,1484056172691,charShow,,,a
e02,,1484056173092,charShow,,,b
e02,,1484056173423,screenTap,,,
e02,,1484056173491,charShow,,,a
e02,,1484056173891,charShow,,,a
e02,,1484056174292,charShow,,,b
e02,,1484056174601,screenTap,,,
e02,,1484056174691,charShow,,,a
e02,,1484056175091,charShow,,,a
e02,,1484056175492,charShow,,,b
e02,,1484056175788,screenTap,,,
e02,,1484056175891,charShow,,,a
e02,,1484056176292,charShow,,,b
e02,,1484056176691,charShow,,,a
e02,,1484056176699,screenTap,,,
e02,,1484056177091,charShow,,,a
e02,,1484056177492,charShow,,,b
e02,,1484056177684,screenTap,,,
e02,,1484056177891,charShow,,,a
e02,,1484056178292,charShow,,,a
e02,,1484056178692,charShow,,,b
e02,,1484056178978,screenTap,,,
e02,,1484056179092,charShow,,,a
e02,,1484056179491,charShow,,,a
e02,,1484056179892,charShow,,,b
e02,,1484056180092,screenTap,,,
e02,,1484056180292,charShow,,,a
e02,,1484056180691,charShow,,,a
e02,,1484056181092,charShow,,,b
e02,,1484056181302,screenTap,,,
e02,,1484056181491,charShow,,,a
e02,,1484056181892,charShow,,,a
e02,,1484056182291,charShow,,,b
e02,,1484056182635,screenTap,,,
e02,,1484056182691,charShow,,,a
e02,,1484056183091,charShow,,,a
e02,,1484056183491,charShow,,,b
e02,,1484056183810,screenTap,,,
e02,,1484056183891,charShow,,,a
e02,,1484056184292,charShow,,,a
e02,,1484056184692,charShow,,,b
