subjectID,trialID,currentTime,eventType,stimType,stimFile,stimChar
e07,1,1484402803163,trialStart,training,training_2_23_172_68879,
e07,,1484402803567,charShow,,,b
e07,,1484402803968,charShow,,,a
e07,,1484402804367,charShow,,,a
e07,,1484402804768,charShow,,,b
e07,,1484402805168,charShow,,,a
e07,,1484402805322,screenTap,,,
e07,,1484402805567,charShow,,,b
e07,,1484402805968,charShow,,,a
e07,,1484402806367,charShow,,,a
e07,,1484402806768,charShow,,,b
e07,,1484402807124,screenTap,,,
e07,,1484402807166,charShow,,,a
e07,,1484402807568,charShow,,,b
e07,,1484402807968,charShow,,,a
e07,,1484402808078,screenTap,,,
e07,,1484402808367,charShow,,,a
e07,,1484402808768,charShow,,,b
e07,,1484402809162,screenTap,,,
e07,,1484402809181,charShow,,,a
e07,,1484402809568,charShow,,,a
e07,,1484402809968,charShow,,,b
e07,,1484402810348,screenTap,,,
e07,,1484402810367,charShow,,,a
e07,,1484402810767,charShow,,,b
e07,,1484402811168,charShow,,,a
e07,,1484402811249,screenTap,,,
e07,,1484402811567,charShow,,,a
e07,,1484402811968,charShow,,,b
e07,,1484402812345,screenTap,,,
e07,,1484402812367,charShow,,,a
e07,,1484402812767,charShow,,,a
e07,,1484402813168,charShow,,,b
e07,,1484402813569,charShow,,,a
e07,,1484402813746,screenTap,,,
e07,,1484402813967,charShow,,,b
e07,,1484402814367,charShow,,,a
e07,,1484402814768,charShow,,,a
e07,,1484402815168,charShow,,,b
e07,,1484402815515,screenTap,,,
e07,,1484402815567,charShow,,,a
e07,,1484402815967,charShow,,,b
e07,,1484402816367,charShow,,,a
e07,,1484402816434,screenTap,,,
e07,,1484402816767,charShow,,,a
e07,,1484402817168,charShow,,,b
e07,,1484402817553,screenTap,,,
e07,,1484402817570,charShow,,,a
e07,,1484402817967,charShow,,,a
e07,,1484402818367,charShow,,,b
e07,,1484402818743,screenTap,,,
e07,,1484402818767,charShow,,,a
e07,,1484402819167,charShow,,,b
e07,,1484402819567,charShow,,,a
e07,,1484402819627,screenTap,,,
e07,,1484402819967,charShow,,,a
e07,,1484402820367,charShow,,,b
e07,,1484402820710,screenTap,,,
e07,,1484402820767,charShow,,,a
e07,,1484402821168,charShow,,,b
e07,,1484402821567,charShow,,,a
e07,,1484402821592,screenTap,,,
e07,,1484402821967,charShow,,,a
e07,,1484402822368,charShow,,,b
e07,,1484402822723,screenTap,,,
e07,,1484402822766,charShow,,,a
e07,,1484402823168,charShow,,,a
e07,,1484402823568,charShow,,,b
e07,,1484402823884,screenTap,,,
e07,,1484402823968,charShow,,,a
e07,,1484402824369,charShow,,,b
e07,,1484402824769,charShow,,,a
e07,,1484402824821,screenTap,,,
e07,,1484402825169,charShow,,,a
e07,,1484402825568,charShow,,,b
e07,,1484402825916,screenTap,,,
e07,,1484402825969,charShow,,,a
e07,,1484402826368,charShow,,,a
e07,,1484402826769,charShow,,,b
e07,,1484402827116,screenTap,,,
e07,,1484402827168,charShow,,,a
e07,,1484402827568,charShow,,,b
e07,,1484402827968,charShow,,,a
e07,,1484402828001,screenTap,,,
e07,,1484402828368,charShow,,,a
e07,,1484402828769,charShow,,,b
e07,,1484402829125,screenTap,,,
e07,,1484402829170,charShow,,,a
e07,,1484402829568,charShow,,,b
e07,,1484402829970,charShow,,,a
e07,,1484402829986,screenTap,,,
e07,,1484402830369,charShow,,,a
e07,,1484402830769,charShow,,,b
e07,,1484402831114,screenTap,,,
e07,,1484402831169,charShow,,,a
e07,,1484402831569,charShow,,,a
e07,,1484402831968,charShow,,,b
e07,,1484402832306,screenTap,,,
e07,,1484402832368,charShow,,,a
e07,,1484402832769,charShow,,,b
e07,,1484402833168,charShow,,,a
e07,,1484402833221,screenTap,,,
e07,,1484402833569,charShow,,,a
e07,,1484402833969,charShow,,,b
e07,,1484402834317,screenTap,,,
e07,,1484402834368,charShow,,,a
e07,,1484402834769,charShow,,,a
e07,,1484402835168,charShow,,,b
e07,,1484402835526,screenTap,,,
e07,,1484402835569,charShow,,,a
e07,,1484402835969,charShow,,,b
e07,,1484402836368,charShow,,,a
e07,,1484402836397,screenTap,,,
e07,,1484402836768,charShow,,,a
e07,,1484402837168,charShow,,,b
e07,,1484402837504,screenTap,,,
e07,,1484402837568,charShow,,,a
e07,,1484402837968,charShow,,,b
e07,,1484402838369,charShow,,,a
e07,,1484402838391,screenTap,,,
e07,,1484402838769,charShow,,,a
e07,,1484402839169,charShow,,,b
e07,,1484402839491,screenTap,,,
e07,,1484402839568,charShow,,,a
e07,,1484402839968,charShow,,,a
e07,,1484402840369,charShow,,,b
e07,,1484402840695,screenTap,,,
e07,,1484402840769,charShow,,,a
e07,,1484402841168,charShow,,,b
e07,,1484402841528,screenTap,,,
e07,,1484402841570,charShow,,,a
e07,,1484402841969,charShow,,,a
e07,,1484402842369,charShow,,,b
e07,,1484402842660,screenTap,,,
e07,,1484402842778,charShow,,,a
e07,,1484402843168,charShow,,,b
e07,,1484402843484,screenTap,,,
e07,,1484402843569,charShow,,,a
e07,,1484402843968,charShow,,,a
e07,,1484402844370,charShow,,,b
e07,,1484402844688,screenTap,,,
e07,,1484402844768,charShow,,,a
e07,,1484402845169,charShow,,,a
e07,,1484402845569,charShow,,,b
e07,,1484402845808,screenTap,,,
e07,,1484402845968,charShow,,,a
e07,,1484402846368,charShow,,,b
e07,,1484402846693,screenTap,,,
e07,,1484402846768,charShow,,,a
e07,,1484402847169,charShow,,,a
e07,,1484402847568,charShow,,,b
e07,,1484402847872,screenTap,,,
e07,,1484402847968,charShow,,,a
e07,,1484402848368,charShow,,,a
e07,,1484402848769,charShow,,,b
e07,,1484402849067,screenTap,,,
e07,,1484402849168,charShow,,,a
e07,,1484402849569,charShow,,,b
e07,,1484402849924,screenTap,,,
e07,,1484402849968,charShow,,,a
e07,,1484402850368,charShow,,,a
e07,,1484402850769,charShow,,,b
e07,,1484402851114,screenTap,,,
e07,,1484402851170,charShow,,,a
e07,,1484402851568,charShow,,,b
e07,,1484402851952,screenTap,,,
e07,,1484402851967,charShow,,,a
e07,,1484402852369,charShow,,,a
e07,,1484402852769,charShow,,,b
e07,,1484402853116,screenTap,,,
e07,,1484402853168,charShow,,,a
e07,,1484402853568,charShow,,,a
e07,,1484402853968,charShow,,,b
e07,,1484402854283,screenTap,,,
e07,,1484402854368,charShow,,,a
e07,,1484402854769,charShow,,,b
e07,,1484402855168,charShow,,,a
e07,,1484402855205,screenTap,,,
e07,,1484402855569,charShow,,,a
e07,,1484402855968,charShow,,,b
e07,,1484402856327,screenTap,,,
e07,,1484402856368,charShow,,,a
e07,,1484402856768,charShow,,,b
e07,,1484402857167,charShow,,,a
e07,,1484402857183,screenTap,,,
e07,,1484402857569,charShow,,,a
e07,,1484402857969,charShow,,,b
e07,,1484402858283,screenTap,,,
e07,,1484402858368,charShow,,,a
e07,,1484402858769,charShow,,,a
e07,,1484402859169,charShow,,,b
e07,,1484402859481,screenTap,,,
e07,,1484402859570,charShow,,,a
e07,,1484402859969,charShow,,,b
e07,,1484402860307,screenTap,,,
e07,,1484402860369,charShow,,,a
e07,,1484402860770,charShow,,,a
e07,,1484402861169,charShow,,,b
e07,,1484402861512,screenTap,,,
e07,,1484402861568,charShow,,,a
e07,,1484402861969,charShow,,,a
e07,,1484402862370,charShow,,,b
