subjectID,trialID,currentTime,eventType,stimType,stimFile,stimChar
e07,4,1484403066123,trialStart,lsys,lsys_3_23_80_23074,
e07,,1484403066525,charShow,,,b
e07,,1484403066926,charShow,,,a
e07,,1484403067099,screenTap,,,
e07,,1484403067325,charShow,,,b
e07,,1484403067726,charShow,,,a
e07,,1484403067850,screenTap,,,
e07,,1484403068125,charShow,,,a
e07,,1484403068525,charShow,,,b
e07,,1484403068877,screenTap,,,
e07,,1484403068925,charShow,,,a
e07,,1484403069325,charShow,,,a
e07,,1484403069725,charShow,,,b
e07,,1484403070053,screenTap,,,
e07,,1484403070125,charShow,,,a
e07,,1484403070525,charShow,,,b
e07,,1484403070924,charShow,,,a
e07,,1484403070946,screenTap,,,
e07,,1484403071325,charShow,,,a
e07,,1484403071726,charShow,,,b
e07,,1484403072081,screenTap,,,
e07,,1484403072125,charShow,,,a
e07,,1484403072526,charShow,,,a
e07,,1484403072926,charShow,,,b
e07,,1484403073287,screenTap,,,
e07,,1484403073326,charShow,,,a
e07,,1484403073727,charShow,,,b
e07,,1484403074126,charShow,,,a
e07,,1484403074148,screenTap,,,
e07,,1484403074526,charShow,,,a
e07,,1484403074927,charShow,,,b
e07,,1484403075290,screenTap,,,
e07,,1484403075327,charShow,,,a
e07,,1484403075726,charShow,,,b
e07,,1484403076126,charShow,,,a
e07,,1484403076137,screenTap,,,
e07,,1484403076526,charShow,,,a
e07,,1484403076926,charShow,,,b
e07,,1484403077324,screenTap,,,
e07,,1484403077329,charShow,,,a
e07,,1484403077726,charShow,,,a
e07,,1484403078127,charShow,,,b
e07,,1484403078480,screenTap,,,
e07,,1484403078526,charShow,,,a
e07,,1484403078926,charShow,,,b
e07,,1484403079326,charShow,,,a
e07,,1484403079385,screenTap,,,
e07,,1484403079727,charShow,,,a
e07,,1484403080127,charShow,,,b
e07,,1484403080492,screenTap,,,
e07,,1484403080526,charShow,,,a
e07,,1484403080927,charShow,,,a
e07,,1484403081327,charShow,,,b
e07,,1484403081686,screenTap,,,
e07,,1484403081726,charShow,,,a
e07,,1484403082127,charShow,,,b
e07,,1484403082525,charShow,,,a
e07,,1484403082555,screenTap,,,
e07,,1484403082926,charShow,,,a
e07,,1484403083326,charShow,,,b
e07,,1484403083703,screenTap,,,
e07,,1484403083726,charShow,,,a
e07,,1484403084127,charShow,,,b
e07,,1484403084526,charShow,,,a
e07,,1484403084599,screenTap,,,
e07,,1484403084927,charShow,,,a
e07,,1484403085327,charShow,,,b
e07,,1484403085726,charShow,,,a
e07,,1484403085740,screenTap,,,
e07,,1484403086127,charShow,,,a
e07,,1484403086527,charShow,,,b
e07,,1484403086895,screenTap,,,
e07,,1484403086927,charShow,,,a
e07,,1484403087326,charShow,,,b
e07,,1484403087727,charShow,,,a
e07,,1484403087812,screenTap,,,
e07,,1484403088126,charShow,,,a
e07,,1484403088527,charShow,,,b
e07,,1484403088926,charShow,,,a
e07,,1484403088956,screenTap,,,
e07,,1484403089326,charShow,,,b
e07,,1484403089727,charShow,,,a
e07,,1484403089782,screenTap,,,
e07,,1484403090126,charShow,,,a
e07,,1484403090527,charShow,,,b
e07,,1484403090892,screenTap,,,
e07,,1484403090927,charShow,,,a
e07,,1484403091326,charShow,,,a
e07,,1484403091726,charShow,,,b
e07,,1484403092093,screenTap,,,
e07,,1484403092126,charShow,,,a
e07,,1484403092528,charShow,,,b
e07,,1484403092927,charShow,,,a
e07,,1484403093013,screenTap,,,
e07,,1484403093327,charShow,,,a
e07,,1484403093727,charShow,,,b
e07,,1484403094126,charShow,,,a
e07,,1484403094163,screenTap,,,
e07,,1484403094527,charShow,,,a
e07,,1484403094926,charShow,,,b
e07,,1484403095323,screenTap,,,
e07,,1484403095326,charShow,,,a
e07,,1484403095726,charShow,,,b
e07,,1484403096127,charShow,,,a
e07,,1484403096411,screenTap,,,
e07,,1484403096526,charShow,,,a
e07,,1484403096927,charShow,,,b
e07,,1484403097326,charShow,,,a
e07,,1484403097372,screenTap,,,
e07,,1484403097726,charShow,,,b
e07,,1484403098127,charShow,,,a
e07,,1484403098223,screenTap,,,
e07,5,1484403100063,trialStart,golden,golden_1_23_80_24219,
e07,,1484403100477,charShow,,,a
e07,,1484403100878,charShow,,,b
e07,,1484403101277,charShow,,,a
e07,,1484403101299,screenTap,,,
e07,,1484403101678,charShow,,,a
e07,,1484403102078,charShow,,,b
e07,,1484403102457,screenTap,,,
e07,,1484403102478,charShow,,,a
e07,,1484403102879,charShow,,,a
e07,,1484403103278,charShow,,,b
e07,,1484403103649,screenTap,,,
e07,,1484403103677,charShow,,,a
e07,,1484403104078,charShow,,,a
e07,,1484403104478,charShow,,,b
e07,,1484403104844,screenTap,,,
e07,,1484403104877,charShow,,,a
e07,,1484403105278,charShow,,,b
e07,,1484403105678,charShow,,,a
e07,,1484403105783,screenTap,,,
e07,,1484403106078,charShow,,,a
e07,,1484403106478,charShow,,,b
e07,,1484403106878,charShow,,,a
e07,,1484403106894,screenTap,,,
